Channel,Group,Field,BitRange
REQ,0,SRCID|TGTID,0:10
REQ,0,STASHNID|RETURNNID|SLCREPHINT6,11:21
REQ,0,StashTgtValid|Endian|Deep,22:22
REQ,0,StashLPValid_StashLP4,23:28
REQ,0,OPCODE,29:35
REQ,0,SIZE,36:38
REQ,0,NS,39:39
REQ,0,ALLOWRETRY,40:40
REQ,0,ORDER,41:42
REQ,0,PCRDTYPE,43:46
REQ,0,LPID,47:51
REQ,0,GroupIDExt,52:54
REQ,0,EXPCOMPACK,55:55
REQ,0,RSVDC,56:63
REQ,1,QOS,0:3
REQ,1,ADDR,4:55
REQ,1,LIKELYSHARED,56:56
REQ,1,MEMATTR,57:60
REQ,1,SNPATTR,61:61
REQ,1,EXCL|SNOOPME,62:62
REQ,1,TRACETAG,63:63
REQ,2,SRCID|TGTID,0:10
REQ,2,OPCODE,11:17
REQ,2,MPAM,18:28
REQ,2,TagOp,29:30
REQ,2,ADDR38,31:63
RSP,0,QOS,0:3
RSP,0,SRCID|TGTID,4:14
RSP,0,OPCODE,15:19
RSP,0,RESPERR,20:21
RSP,0,RESP,22:24
RSP,0,FWDSTATE|DATAPULL,25:27
RSP,0,CBUSY,28:30
RSP,0,DBID,31:42
RSP,0,PCRDTYPE,43:46
RSP,0,TagOp,47:48
RSP,0,TRACETAG,49:49
RSP,0,DEVEVENT,50:51
SNP,0,SRCID,0:10
SNP,0,FWDTXNID|STASHLPIDVALID_STASHLPID4|VMIDEXT7,11:18
SNP,0,FWDNID,19:29
SNP,0,OPCODE,30:34
SNP,0,NS,35:35
SNP,0,DONOTGOTOSD,36:36
SNP,0,RETTOSRC,37:37
SNP,0,TRACETAG,38:38
SNP,0,QoS,39:42
SNP,0,MPAM,43:53
SNP,1,SRCID,0:10
SNP,1,ADDR,11:59
DAT,0,QOS,0:3
DAT,0,SRCID|TGTID,4:14
DAT,0,HOMENID,15:25
DAT,0,OPCODE,26:29
DAT,0,RESPERR,30:31
DAT,0,RESP,32:34
DAT,0,DATASRC|FWDSTATE|STASH,35:38
DAT,0,CBUSY,39:41
DAT,0,DBID,42:53
DAT,0,CCID,54:55
DAT,0,DATAID,56:57
DAT,0,POISON,58:61
DAT,0,DEVEVENT,62:63
DAT,1,SRCID|TGTID,0:10
DAT,1,OPCODE,11:14
DAT,1,RESPERR,15:16
DAT,1,RESP,17:19
DAT,1,TagOp,20:21
DAT,1,Tag,22:29
DAT,1,TU,30:31
DAT,1,DBID,32:43
DAT,1,TRACETAG,44:44
DAT,1,CHUNKV,45:46
DAT,1,DEVEVENT,47:48
DAT,1,RSVDC,49:56
